year,km_driven,seats,selling_price,mileage_no,engine_no,max_power_no,torque_nm,f_diesel,f_petrol,f_lpg,f_cng,seller_type_individual,seller_type_dealer,seller_type_trusted_dealer,owner_no,transmission_no
2018,50000,5.0,372000,25.83,1498.0,99.0,215.0,1,0,0,0,1,0,0,4,1
2017,9000,5.0,2625000,13.6,1999.0,177.0,430.0,1,0,0,0,0,1,0,1,2
2013,79328,7.0,750000,12.99,2494.0,100.6,200.0,1,0,0,0,0,0,1,2,1
2013,50000,5.0,250000,21.02,1248.0,88.8,200.0,1,0,0,0,1,0,0,1,1
2008,120000,7.0,300000,11.57,2179.0,138.1,320.0,1,0,0,0,1,0,0,2,1
2013,37000,7.0,350000,13.7,1399.0,98.79,131.0,0,1,0,0,0,1,0,1,1
2016,30000,5.0,700000,15.29,1591.0,121.3,151.0,0,1,0,0,1,0,0,1,1
2016,56494,5.0,550000,18.2,1199.0,88.7,110.0,0,1,0,0,0,0,1,1,1
2013,90000,5.0,145000,25.44,936.0,57.6,150.0,1,0,0,0,1,0,0,3,1
2009,60000,5.0,90000,17.88,1396.0,52.8,85.0,1,0,0,0,1,0,0,2,1
2016,56239,5.0,570000,22.54,1396.0,88.73,219.7,1,0,0,0,0,1,0,1,1
2016,25000,5.0,749000,17.01,1591.0,121.3,154.9,0,1,0,0,1,0,0,1,1
2013,48000,5.0,475000,21.7,1498.0,98.96,215.0,1,0,0,0,0,1,0,2,1
2011,108000,7.0,475000,16.0,2179.0,140.0,330.0,1,0,0,0,0,1,0,1,1
2012,140000,5.0,1300000,18.88,1995.0,184.0,380.0,1,0,0,0,1,0,0,2,2
2016,40000,5.0,399000,23.84,1199.0,84.0,114.0,0,1,0,0,1,0,0,1,1
2013,90000,7.0,430000,16.02,1373.0,93.7,130.0,0,1,0,0,1,0,0,1,1
2011,100000,5.0,360000,13.5,2179.0,115.0,277.5,1,0,0,0,1,0,0,4,1
2017,35000,7.0,700000,17.5,1373.0,91.1,130.0,0,1,0,0,1,0,0,1,1
2012,80000,5.0,140000,19.09,1396.0,69.0,135.0,1,0,0,0,1,0,0,4,1
2017,57900,7.0,940000,21.9,1498.0,98.6,200.0,1,0,0,0,0,1,0,1,1
2015,19800,7.0,300000,15.37,1196.0,73.0,101.0,0,1,0,0,1,0,0,1,1
2014,142500,5.0,325000,19.5,1248.0,75.0,197.0,1,0,0,0,1,0,0,1,1
2017,70000,5.0,650000,24.3,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
2012,210000,7.0,300000,17.21,1493.0,100.0,240.0,1,0,0,0,1,0,0,1,1
2019,15000,5.0,1025000,20.28,1462.0,103.25,138.0,0,1,0,0,0,1,0,1,2
2009,300000,7.0,150000,14.0,2498.0,112.0,260.0,1,0,0,0,1,0,0,1,1
2010,77088,8.0,465000,14.0,2489.0,95.0,220.0,1,0,0,0,1,0,0,1,1
2019,28000,5.0,550000,18.9,1197.0,81.86,113.75,0,1,0,0,1,0,0,1,2
2013,217000,8.0,1050000,12.99,2494.0,100.6,200.0,1,0,0,0,1,0,0,2,1
2016,92000,7.0,900000,21.9,1498.0,98.6,200.0,1,0,0,0,1,0,0,1,1
2011,181000,7.0,1150000,11.5,2982.0,171.0,343.0,1,0,0,0,1,0,0,2,1
2014,145500,5.0,450000,23.4,1248.0,74.0,190.0,1,0,0,0,1,0,0,1,1
2014,27233,5.0,465000,27.4,1498.0,98.63,200.0,1,0,0,0,0,1,0,1,1
2004,120000,5.0,250000,13.4,2362.0,164.7,224.0,0,1,0,0,1,0,0,2,1
2010,90000,9.0,235000,14.0,1948.0,90.0,190.0,1,0,0,0,1,0,0,1,1
2019,11500,5.0,550000,21.21,1197.0,81.8,113.0,0,1,0,0,1,0,0,1,1
2018,5000,5.0,430000,20.63,1198.0,67.0,104.0,0,1,0,0,1,0,0,2,1
2010,30000,5.0,160000,21.12,1248.0,88.8,200.0,1,0,0,0,1,0,0,2,1
2017,140000,7.0,400000,14.07,2956.0,69.01,223.0,1,0,0,0,1,0,0,1,1
2009,90000,5.0,180000,18.9,1061.0,67.0,84.0,0,1,0,0,1,0,0,2,1
2009,120000,5.0,140000,19.09,1396.0,69.0,135.0,1,0,0,0,1,0,0,3,1
2016,26000,5.0,490000,18.9,1197.0,82.0,114.0,0,1,0,0,1,0,0,1,1
2018,51000,5.0,950000,25.1,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
1997,120000,4.0,40000,16.1,796.0,37.0,59.0,0,1,0,0,1,0,0,1,1
2011,90000,5.0,350000,23.59,1364.0,67.1,170.0,1,0,0,0,1,0,0,1,1
2019,8500,5.0,5500000,16.78,1995.0,190.0,400.0,1,0,0,0,0,1,0,1,2
2017,20000,5.0,600000,24.0,1186.0,73.97,190.24,1,0,0,0,1,0,0,1,1
2009,80000,5.0,150000,20.36,1197.0,78.9,111.8,0,1,0,0,1,0,0,2,1
2014,150000,7.0,1380000,13.0,2982.0,168.5,343.0,1,0,0,0,1,0,0,1,1
2018,40000,7.0,1350000,16.0,2179.0,138.0,330.0,1,0,0,0,1,0,0,1,1
2009,70000,5.0,142000,18.9,1061.0,67.0,84.0,0,1,0,0,1,0,0,2,1
2018,15000,5.0,790000,17.0,1198.0,108.5,170.0,0,1,0,0,1,0,0,1,1
2008,80000,5.0,110000,18.9,1061.0,67.0,84.0,0,1,0,0,1,0,0,4,1
2012,80000,7.0,650000,15.1,2179.0,140.0,330.0,1,0,0,0,1,0,0,3,1
2017,70000,7.0,735000,16.5,1493.0,70.0,195.0,1,0,0,0,1,0,0,1,1
2010,162000,5.0,130000,19.0,998.0,66.1,90.0,0,1,0,0,1,0,0,2,1
2016,50000,5.0,1140000,19.67,1582.0,126.2,259.9,1,0,0,0,1,0,0,1,1
2013,120000,5.0,400000,20.54,1598.0,103.6,250.0,1,0,0,0,1,0,0,2,1
2017,56290,5.0,450000,24.0,1186.0,73.97,190.24,1,0,0,0,0,1,0,1,1
2006,40000,4.0,120000,16.1,796.0,37.0,59.0,0,1,0,0,1,0,0,2,1
2019,33928,5.0,490000,23.84,1199.0,84.48,113.0,0,1,0,0,0,1,0,1,1
2017,29000,5.0,600000,22.0,1498.0,108.495,250.0,1,0,0,0,1,0,0,1,1
2006,60000,5.0,75000,18.9,998.0,67.1,90.0,0,1,0,0,1,0,0,1,2
2016,50000,7.0,650000,14.1,2179.0,147.94,320.0,1,0,0,0,1,0,0,3,1
2014,50000,5.0,220000,21.1,814.0,55.2,74.5,0,1,0,0,1,0,0,3,1
2017,6750,5.0,450000,18.5,1198.0,86.8,109.0,0,1,0,0,1,0,0,1,1
1997,186388,8.0,300000,14.8,1298.0,80.0,103.0,0,1,0,0,1,0,0,2,1
2016,35000,5.0,260000,22.7,799.0,53.64,72.0,0,1,0,0,1,0,0,1,1
2016,25000,5.0,800000,15.29,1591.0,121.3,151.0,0,1,0,0,1,0,0,1,1
2018,7000,5.0,540000,20.3,1086.0,68.0,99.0,0,1,0,0,0,1,0,1,1
2011,15000,5.0,335000,17.5,1298.0,85.8,114.0,0,1,0,0,1,0,0,1,1
2020,70000,5.0,580000,23.26,1197.0,88.5,113.0,0,1,0,0,1,0,0,1,1
2017,70000,5.0,1950000,16.3,1956.0,170.0,350.0,1,0,0,0,1,0,0,1,1
2019,15000,6.0,950000,16.55,2498.0,105.0,247.0,1,0,0,0,1,0,0,1,1
2013,53000,5.0,500000,22.9,1248.0,74.0,190.0,1,0,0,0,1,0,0,1,1
2009,100000,5.0,150000,17.7,1399.0,68.0,156.9064,1,0,0,0,1,0,0,4,1
2012,40000,5.0,124000,18.6,1199.0,79.4,108.0,0,1,0,0,1,0,0,2,1
2017,20000,5.0,278000,22.5,999.0,67.0,91.0,0,1,0,0,1,0,0,1,1
2017,23000,5.0,515000,21.4,1197.0,83.1,115.0,0,1,0,0,1,0,0,1,1
2016,85000,5.0,650000,24.4,1499.0,98.96,215.0,1,0,0,0,0,1,0,1,1
2019,16034,5.0,950000,21.7,1498.0,98.96,215.0,1,0,0,0,0,1,0,1,1
2020,5000,5.0,720000,18.6,1197.0,81.86,117.0,0,1,0,0,1,0,0,1,1
2009,160000,5.0,190000,17.5,1197.0,85.8,114.0,0,1,0,0,1,0,0,3,1
2017,61260,5.0,861000,24.3,1248.0,88.5,200.0,1,0,0,0,0,1,0,1,1
2013,58343,5.0,225000,21.79,998.0,67.05,90.0,0,1,0,0,0,0,1,1,1
2013,100000,5.0,325000,20.45,1461.0,83.8,200.0,1,0,0,0,1,0,0,3,1
2007,50000,5.0,102000,15.26,1150.0,74.9,110.0,0,1,0,0,1,0,0,2,1
2016,70000,5.0,750000,24.3,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
2017,44000,5.0,2600000,22.69,1995.0,190.0,400.0,1,0,0,0,0,1,0,1,2
2015,120000,7.0,840000,12.99,2494.0,100.6,200.0,1,0,0,0,1,0,0,2,1
2017,32000,5.0,775000,24.3,1248.0,88.5,200.0,1,0,0,0,0,1,0,1,1
2005,100000,7.0,150000,13.6,2523.0,63.0,180.0,1,0,0,0,1,0,0,2,1
2011,70000,5.0,220000,20.36,1197.0,78.9,111.8,0,1,0,0,1,0,0,3,1
2015,188000,7.0,950000,16.0,2179.0,140.0,330.0,1,0,0,0,1,0,0,1,1
2013,58343,5.0,225000,21.79,998.0,67.05,90.0,0,1,0,0,0,0,1,1,1
2012,99000,5.0,260000,15.5,1586.0,103.3,145.0,0,1,0,0,1,0,0,2,1
2011,35000,5.0,225000,15.0,1368.0,90.0,116.0,0,1,0,0,1,0,0,1,1
2015,60000,5.0,670000,25.1,1498.0,98.6,200.0,1,0,0,0,1,0,0,1,1
2017,50000,5.0,270000,25.17,799.0,53.3,72.0,0,1,0,0,1,0,0,1,1
2018,69779,5.0,600000,22.0,1197.0,81.8,113.0,0,1,0,0,0,1,0,1,2
2015,133000,7.0,1000000,15.4,2179.0,120.0,280.0,1,0,0,0,1,0,0,2,1
2012,250000,7.0,730000,12.99,2494.0,100.0,200.0,1,0,0,0,1,0,0,1,1
2008,120000,8.0,100000,19.7,796.0,35.0,59.820564999999995,0,1,0,0,1,0,0,2,1
2017,60000,5.0,350000,23.84,1199.0,84.0,114.0,0,1,0,0,1,0,0,1,1
2010,110000,5.0,340000,23.0,1396.0,90.0,219.66895999999997,1,0,0,0,1,0,0,1,1
2018,80000,7.0,450000,20.62,1198.0,67.0,104.0,0,1,0,0,1,0,0,1,1
2007,70000,5.0,95000,19.7,796.0,46.3,62.0,0,1,0,0,1,0,0,2,1
2008,110000,5.0,185000,17.7,1497.0,78.0,124.54445499999999,0,1,0,0,1,0,0,2,1
2007,140000,5.0,210000,17.7,1497.0,78.0,124.54445499999999,0,1,0,0,1,0,0,1,1
2011,20000,10.0,175000,12.2,1948.0,68.0,1127.7647499999998,1,0,0,0,1,0,0,1,1
2018,12000,5.0,1265000,20.37,1461.0,108.45,240.0,1,0,0,0,1,0,0,1,1
2015,25000,5.0,350000,23.1,998.0,67.04,90.0,0,1,0,0,1,0,0,1,1
2015,110000,5.0,600000,26.21,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
2018,60000,7.0,750000,16.5,1493.0,70.0,195.0,1,0,0,0,1,0,0,1,1
2017,15000,5.0,800000,23.9,1582.0,126.2,259.9,1,0,0,0,1,0,0,1,1
2011,147000,5.0,204999,20.0,1399.0,68.0,160.0,1,0,0,0,1,0,0,1,1
2014,42312,5.0,455000,24.4,1120.0,71.0,180.4,1,0,0,0,0,1,0,1,1
2017,20000,5.0,755000,28.4,1248.0,74.02,190.0,1,0,0,0,1,0,0,1,1
2012,90000,5.0,200000,23.57,1396.0,70.0,140.0,1,0,0,0,1,0,0,1,1
2017,80000,5.0,450000,27.28,1047.0,69.0,140.0,1,0,0,0,1,0,0,1,1
2014,120000,5.0,525000,19.01,1461.0,108.5,248.0,1,0,0,0,1,0,0,2,1
2011,75500,5.0,395000,23.0,1396.0,90.0,219.66895999999997,1,0,0,0,1,0,0,2,1
2014,50000,5.0,350000,18.5,1197.0,85.8,114.0,0,1,0,0,1,0,0,1,1
2015,63063,5.0,465000,18.9,1197.0,82.0,114.0,0,1,0,0,0,1,0,1,2
2017,9000,5.0,2625000,13.6,1999.0,177.0,430.0,1,0,0,0,0,1,0,1,2
2014,80000,7.0,750000,15.1,2179.0,140.0,330.0,1,0,0,0,1,0,0,2,1
2016,11500,5.0,310000,25.17,799.0,53.3,72.0,0,1,0,0,1,0,0,1,1
2013,75000,5.0,300000,18.9,1197.0,82.0,114.0,0,1,0,0,1,0,0,3,1
2019,19000,5.0,570000,20.89,1197.0,81.8,113.0,0,1,0,0,1,0,0,2,2
2014,50000,5.0,400000,19.1,1197.0,85.8,114.0,0,1,0,0,1,0,0,1,1
2012,120000,7.0,430000,15.96,2523.0,62.1,195.0,1,0,0,0,1,0,0,1,1
2017,60000,5.0,3300000,0.0,1950.0,194.0,400.0,1,0,0,0,0,1,0,1,2
2014,90000,5.0,300000,21.94,1196.0,63.0,83.0,0,0,0,1,1,0,0,1,1
2018,70000,5.0,330000,20.3,998.0,68.05,94.14,0,1,0,0,1,0,0,1,1
2014,50000,9.0,655000,14.0,2523.0,75.0,200.0,1,0,0,0,1,0,0,2,1
2012,72000,5.0,450000,22.32,1582.0,126.32,259.8,1,0,0,0,1,0,0,2,1
2017,120000,7.0,795000,24.52,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
2006,100000,5.0,120000,19.7,796.0,46.3,62.0,0,1,0,0,1,0,0,2,1
2015,74000,5.0,580000,21.19,1396.0,88.73,219.66,1,0,0,0,1,0,0,2,1
2013,50000,5.0,350000,16.47,1198.0,73.9,110.0,0,1,0,0,1,0,0,4,1
2010,78000,7.0,450000,13.6,2523.0,63.0,180.0,1,0,0,0,1,0,0,1,1
2017,47000,5.0,1125000,19.67,1582.0,126.2,259.9,1,0,0,0,1,0,0,2,1
2017,10000,5.0,525000,18.9,1197.0,81.86,113.75,0,1,0,0,1,0,0,1,1
2010,125000,7.0,800000,11.5,2982.0,171.0,343.0,1,0,0,0,1,0,0,2,1
2018,50000,5.0,770000,24.3,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
2016,60000,5.0,803999,23.9,1582.0,126.2,259.9,1,0,0,0,1,0,0,1,1
2018,69779,5.0,600000,22.0,1197.0,81.8,113.0,0,1,0,0,0,1,0,1,2
2016,70000,5.0,715000,28.09,1248.0,88.5,200.0,1,0,0,0,1,0,0,2,1
2017,60000,5.0,720000,28.09,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
2016,120000,5.0,645000,19.87,1461.0,83.8,200.0,1,0,0,0,1,0,0,1,1
2018,40000,5.0,950000,23.0,1498.0,98.96,205.0,1,0,0,0,1,0,0,1,1
2013,90000,5.0,310000,20.0,1399.0,68.1,160.0,1,0,0,0,1,0,0,2,1
2018,4295,5.0,1000000,17.1,1496.0,105.5,140.0,0,1,0,0,0,0,1,1,1
2011,80600,5.0,347000,19.3,1248.0,73.9,190.0,1,0,0,0,1,0,0,1,1
2018,14000,5.0,1175000,15.8,1591.0,121.3,151.0,0,1,0,0,0,1,0,1,1
2019,60000,7.0,1000000,16.36,2179.0,120.0,280.0,1,0,0,0,1,0,0,1,1
2016,80000,5.0,750000,28.09,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
2012,56365,5.0,175000,25.44,936.0,56.3,142.5,1,0,0,0,0,1,0,1,1
2017,77524,5.0,875000,22.7,1498.0,89.84,204.0,1,0,0,0,0,1,0,1,1
2011,80000,5.0,300000,20.0,1399.0,68.0,160.0,1,0,0,0,1,0,0,1,1
2019,20000,5.0,5150000,22.37,2487.0,214.56,202.0,0,1,0,0,0,1,0,1,2
2018,25000,5.0,764000,20.73,1373.0,91.1,130.0,0,1,0,0,1,0,0,1,1
2015,60000,7.0,630000,15.4,1997.0,120.0,280.0,1,0,0,0,1,0,0,1,1
2012,70000,5.0,200000,21.1,814.0,55.2,74.5,0,1,0,0,1,0,0,1,1
2016,15000,5.0,550000,18.2,1199.0,82.4,108.5,0,1,0,0,1,0,0,1,1
2012,97000,5.0,250000,19.4,1198.0,86.8,109.0,0,1,0,0,1,0,0,2,1
2020,20000,5.0,700000,23.26,1197.0,88.5,113.0,0,1,0,0,1,0,0,1,1
2017,33019,7.0,1748999,13.68,2393.0,147.8,343.0,1,0,0,0,0,1,0,1,1
2018,20000,5.0,270000,24.7,796.0,47.3,69.0,0,1,0,0,1,0,0,1,1
2006,150000,5.0,280000,18.7,1896.0,66.0,2059.3965,1,0,0,0,1,0,0,3,1
2009,110000,5.0,60000,16.5,995.0,63.0,90.3,0,1,0,0,1,0,0,3,1
2016,25000,5.0,850000,17.01,1591.0,121.3,154.9,0,1,0,0,1,0,0,1,1
2013,162500,5.0,170000,19.4,1405.0,70.0,135.4,1,0,0,0,1,0,0,1,1
2014,70000,5.0,440000,22.9,1248.0,74.0,190.0,1,0,0,0,1,0,0,2,1
2016,11000,5.0,645000,14.3,1598.0,103.5,153.0,0,1,0,0,0,1,0,1,2
2011,60000,7.0,440000,13.6,2523.0,63.0,180.0,1,0,0,0,1,0,0,2,1
2009,120000,5.0,225000,19.3,1248.0,73.9,190.0,1,0,0,0,1,0,0,3,1
2018,30000,5.0,335000,25.17,799.0,53.3,72.0,0,1,0,0,1,0,0,1,1
2013,90000,5.0,350000,17.97,1498.0,99.6,134.0,0,1,0,0,1,0,0,2,2
2017,37800,5.0,866000,17.0,1591.0,121.3,151.0,0,1,0,0,1,0,0,1,1
2012,110000,5.0,180000,13.87,1390.0,75.0,110.0,0,1,0,0,1,0,0,2,1
2012,90000,5.0,320000,19.3,1248.0,73.9,190.0,1,0,0,0,1,0,0,3,1
2016,100000,5.0,500000,20.4,1197.0,81.8,113.0,0,1,0,0,1,0,0,1,1
2015,60000,4.0,80000,23.9,624.0,37.48,51.0,0,1,0,0,1,0,0,1,1
2017,65000,8.0,880000,19.98,1461.0,108.5,245.0,1,0,0,0,1,0,0,1,1
2017,23000,5.0,2700000,17.9,2143.0,136.0,300.0,1,0,0,0,0,1,0,1,2
2007,60000,4.0,125000,16.1,796.0,37.0,59.0,0,1,0,0,1,0,0,2,1
2017,25000,5.0,650000,26.59,1248.0,74.0,190.0,1,0,0,0,1,0,0,1,1
2007,110000,5.0,125000,17.8,1399.0,68.0,159.848395,1,0,0,0,1,0,0,3,1
2018,25000,5.0,950000,24.3,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
2016,83000,5.0,750000,24.3,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
2017,30000,5.0,700000,18.6,1197.0,81.83,114.7,0,1,0,0,1,0,0,1,1
2017,56290,5.0,450000,24.0,1186.0,73.97,190.24,1,0,0,0,0,1,0,1,1
2010,160500,5.0,420000,13.5,2179.0,115.0,277.5,1,0,0,0,1,0,0,4,1
2014,15000,5.0,350000,20.51,998.0,67.04,90.0,0,1,0,0,1,0,0,1,1
2017,70000,7.0,600000,17.3,1497.0,117.3,145.0,0,1,0,0,1,0,0,1,1
2015,22000,5.0,900000,17.4,1497.0,117.3,145.0,0,1,0,0,1,0,0,1,1
2016,42323,5.0,651000,21.19,1396.0,88.76,219.66,1,0,0,0,0,1,0,1,1
2011,40000,5.0,148000,19.7,796.0,46.3,62.0,0,1,0,0,1,0,0,3,1
2015,74000,5.0,401000,24.4,1120.0,71.0,180.4,1,0,0,0,1,0,0,2,1
2008,120000,5.0,585000,14.3,1968.0,140.0,358.92339,1,0,0,0,1,0,0,1,2
2013,58343,5.0,225000,21.79,998.0,67.05,90.0,0,1,0,0,0,0,1,1,1
2017,25272,5.0,570000,21.01,1197.0,81.8,113.0,0,1,0,0,0,0,1,1,1
2017,45000,7.0,1282000,17.6,2179.0,153.86,400.0,1,0,0,0,1,0,0,1,1
2017,25000,5.0,430000,23.84,1199.0,84.0,114.0,0,1,0,0,1,0,0,1,1
2015,20000,5.0,499000,18.9,1197.0,81.86,113.75,0,1,0,0,1,0,0,1,1
2013,58343,5.0,225000,21.79,998.0,67.05,90.0,0,1,0,0,0,0,1,1,1
2011,70000,7.0,441000,10.5,2609.0,120.0,290.0,1,0,0,0,1,0,0,2,1
2017,35000,5.0,450000,18.9,1197.0,82.0,114.0,0,1,0,0,1,0,0,1,1
2012,48000,5.0,275000,13.2,1495.0,93.7,124.5,0,0,0,1,1,0,0,1,1
2018,35000,5.0,650000,22.0,1197.0,81.8,113.0,0,1,0,0,1,0,0,1,1
2017,52000,5.0,430000,17.0,1197.0,81.86,113.75,0,1,0,0,1,0,0,1,1
2017,35000,5.0,450000,18.9,1197.0,82.0,114.0,0,1,0,0,1,0,0,1,1
2016,15000,6.0,450000,18.15,1198.0,82.0,115.0,0,1,0,0,1,0,0,2,1
2012,45000,5.0,300000,20.36,1197.0,78.9,111.8,0,1,0,0,1,0,0,1,1
2010,135000,8.0,265000,14.0,2498.0,112.0,260.0,1,0,0,0,1,0,0,1,1
2009,90000,5.0,229999,19.3,1248.0,73.9,190.0,1,0,0,0,1,0,0,2,1
2012,66657,5.0,549000,22.32,1582.0,126.32,259.8,1,0,0,0,0,1,0,1,2
2009,120000,5.0,135000,15.7,1390.0,75.0,107.87315,0,1,0,0,1,0,0,1,1
2000,120000,10.0,95000,12.2,1948.0,68.0,117.6798,1,0,0,0,1,0,0,4,1
2019,36800,5.0,695000,20.14,1498.0,88.0,230.0,1,0,0,0,0,1,0,1,1
2017,25000,5.0,268000,24.7,796.0,47.3,69.0,0,1,0,0,1,0,0,1,1
2014,110000,7.0,545000,20.77,1248.0,88.76,200.0,1,0,0,0,1,0,0,1,1
2016,69500,8.0,1151000,12.99,2494.0,100.6,200.0,1,0,0,0,1,0,0,2,1
